año,total,male,female
1990,16.0 ,11.6 ,24.5 
1991,16.1 ,11.8 ,24.1 
1992,18.1 ,13.9 ,25.8 
1993,22.4 ,18.5 ,29.4 
1994,23.9 ,19.3 ,31.6 
1995,22.7 ,17.8 ,30.8 
1996,22.0 ,17.2 ,29.7 
1997,20.6 ,15.7 ,28.3 
1998,18.6 ,13.5 ,26.6 
1999,15.6 ,10.9 ,23.1 
2000,13.9 ,9.5 ,20.5 
2001,10.5 ,7.4 ,15.2 
2002,11.5 ,8.3 ,16.1 
2003,11.5 ,8.5 ,15.8 
2004,11.0 ,8.3 ,14.8 
2005,9.1 ,7.1 ,12.0 
2006,8.5 ,6.3 ,11.3 
2007,8.2 ,6.4 ,10.7 
2008,11.3 ,10.1 ,12.8 
2009,17.9 ,17.6 ,18.1 
2010,19.9 ,19.6 ,20.2 
2011,21.4 ,21.0 ,21.8 
2012,24.8 ,24.6 ,25.0 
2013,26.1 ,25.6 ,26.7 
2014,24.4 ,23.6 ,25.4 
2015,22.1 ,20.8 ,23.5 
2016,19.6 ,18.1 ,21.4 
2017,17.2 ,15.7 ,19.0 
2018,15.3 ,13.7 ,17.0 
2019,14.1 ,12.4 ,16.0 
2020,15.5 ,13.9 ,17.4 
2021,14.8 ,13.1 ,16.7 
