tasa
"13,26"
"12,87"
"12,67"
"12,48"
"13,65"
"13,33"
"14,57"
"15,26"
"15,98"
"16,13"
"16,26"
"15,33"
"14,41"
"13,78"
"13,92"
"14,02"
"14,7"
"14,45"
"14,55"
"15,28"
"16,74"
"16,55"
"16,38"
"17,22"
"18,75"
"18,63"
"18,91"
20
21
"20,9"
"21,18"
"22,37"
"23,78"
"23,7"
"23,67"
"24,47"
"25,93"
"25,73"
"25,65"
"26,06"
"26,94"
"25,77"
"24,79"
"24,4"
"24,19"
"22,56"
"21,28"
"20,64"
"21,08"
"20,11"
"19,59"
"19,89"
"19,84"
"18,66"
"17,75"
"17,77"
"17,24"
"13,79"
"11,23"
"10,36"
"9,6"
"8,57"
"8,01"
"7,93"
"8,42"
"8,26"
"8,08"
"8,44"
"9,03"
"8,71"
"8,41"
"9,32"
"10,17"
"10,53"
"10,74"
"11,09"
"11,5"
"11,37"
"11,3"
"11,28"
"11,99"
"11,61"
"11,49"
"11,15"
"11,55"
"10,63"
"10,29"
"10,35"
"10,94"
