año,total,male,female
1995,"60,6","75,5","45,8"
1996,"61,3","75,9","46,7"
1997,"62,2","76,5","47,9"
1998,"62,7",77,"48,6"
1999,"63,6","77,6","49,6"
2000,"65,1","78,5","51,8"
2001,"64,4","78,3","50,4"
2002,"66,4","79,1","53,7"
2003,"67,8","79,8","55,5"
2004,"68,7","80,1","57,1"
2005,70,"80,9","58,9"
2006,"71,1","81,2","60,7"
2007,"71,8","81,4","61,9"
2008,"72,7","81,6","63,6"
2009,"73,1","80,8","65,1"
2010,"73,5","80,6","66,3"
2011,"73,9","80,4","67,3"
2012,"74,3","80,1","68,4"
2013,"74,3","79,8","68,7"
2014,"74,2","79,5","68,8"
2015,"74,3","79,5",69
2016,"74,2","79,2","69,2"
2017,"73,9","78,9","68,8"
2018,"73,7","78,8","68,6"
2019,"73,8","78,5",69
2020,"72,2","76,9","67,6"
2021,"73,7","77,8","69,7"
2022,74,"78,2","69,9"
